time,lat,long,throttle
93.8,44.49254105,-79.18271452,34.38
93.85,44.49253233,-79.18271335,34.1911
93.9,44.4925237,-79.18271195,34.0622
93.95,44.49251513,-79.18271034,34.5067
94,44.49250673,-79.1827085,34.6489
94.05,44.49249847,-79.18270644,34.2044
94.1,44.49249032,-79.18270401,34.09
94.15,44.49248225,-79.18270123,34.2567
94.2,44.49247433,-79.18269808,34.8344
94.25,44.49246655,-79.18269459,35.5567
94.3,44.49245884,-79.18269084,35.9656
94.35,44.49245121,-79.18268685,36.2533
94.4,44.49244373,-79.18268259,35.92
94.45,44.49243639,-79.18267808,35.9078
94.5,44.49242925,-79.1826733,36.5189
94.55,44.49242229,-79.18266827,37.1
94.6,44.49241552,-79.18266291,37.6556
94.65,44.49240894,-79.18265725,37.9233
94.7,44.49240248,-79.18265142,38.09
94.75,44.49239613,-79.18264543,38.6222
94.8,44.49239002,-79.18263914,39.1311
94.85,44.49238412,-79.18263257,39.3533
94.9,44.49237841,-79.18262574,39.4811
94.95,44.49237285,-79.18261867,39.4256
95,44.49236742,-79.18261139,39.22
95.05,44.49236212,-79.18260394,38.8867
95.1,44.49235707,-79.18259623,39.3344
95.15,44.49235227,-79.18258829,40.0567
95.2,44.49234778,-79.18258014,39.7867
95.25,44.49234357,-79.18257179,39.5856
95.3,44.49233962,-79.18256326,40.1967
95.35,44.4923359,-79.18255455,40.6944
95.4,44.49233239,-79.18254566,40.9722
95.45,44.49232908,-79.18253662,40.32
95.5,44.49232601,-79.18252755,38.8756
95.55,44.49232315,-79.18251846,37.9656
95.6,44.4923205,-79.1825092,37.2433
95.65,44.49231806,-79.18249981,36.7822
95.7,44.49231587,-79.18249045,36.4
95.75,44.49231392,-79.1824811,36.4
95.8,44.4923122,-79.18247165,36.74
95.85,44.49231071,-79.1824621,37.74
95.9,44.49230949,-79.18245261,37.84
95.95,44.49230852,-79.18244315,37.1733
96,44.49230776,-79.18243365,37.0411
96.05,44.4923072,-79.1824241,37.0967
96.1,44.4923069,-79.18241455,37.7267
96.15,44.49230686,-79.18240499,38.3778
96.2,44.49230716,-79.18239551,38.9333
96.25,44.4923078,-79.18238608,39.2811
96.3,44.49230864,-79.18237668,39.2256
96.35,44.49230967,-79.18236731,39.29
96.4,44.49231095,-79.18235799,39.4567
96.45,44.49231247,-79.18234872,39.4178
96.5,44.49231422,-79.18233954,39.3067
96.55,44.49231617,-79.18233043,40.5011
96.6,44.49231844,-79.18232154,41.9111
96.65,44.49232101,-79.18231285,44.1333
96.7,44.49232385,-79.18230437,45.77
96.75,44.49232694,-79.18229609,46.27
96.8,44.49233035,-79.18228814,46.68
96.85,44.49233404,-79.1822805,47.0133
96.9,44.49233804,-79.18227315,48.1689
96.95,44.4923423,-79.18226606,49.6133
97,44.49234679,-79.18225937,51.5278
97.05,44.49235148,-79.18225305,54.0244
97.1,44.49235642,-79.18224708,59.9133
97.15,44.49236159,-79.18224143,68.6733
97.2,44.49236691,-79.18223615,83.0067
97.25,44.49237238,-79.18223121,91.67
97.3,44.49237807,-79.18222683,95.5033
97.35,44.49238395,-79.18222294,96.6233
97.4,44.49239,-79.18221931,96.79
97.45,44.49239619,-79.18221591,96.9044
97.5,44.49240252,-79.18221293,97.0078
97.55,44.49240898,-79.18221033,97.0633
97.6,44.49241558,-79.18220818,97.1378
97.65,44.49242232,-79.18220645,97.2489
97.7,44.49242912,-79.18220524,97.33
97.75,44.49243598,-79.18220451,97.3856
97.8,44.49244283,-79.18220431,97.4
97.85,44.49244966,-79.18220459,97.4
97.9,44.49245655,-79.18220529,97.4
97.95,44.49246349,-79.18220638,97.4
98,44.49247046,-79.1822079,97.4
98.05,44.49247745,-79.1822098,97.4
98.1,44.49248439,-79.18221213,97.4
