time,lat,long,throttle
56.95,44.49240837,-79.18220779,85.5
57.0,44.49241449,-79.18220609,88.0089
57.05,44.49242078,-79.18220478,90.62
57.1,44.49242711,-79.18220384,93.1689
57.15,44.49243348,-79.18220326,95.5578
57.2,44.49243989,-79.18220324,96.968
57.25,44.49244636,-79.18220375,97.318
57.3,44.4924529,-79.18220458,97.5267
57.35,44.49245949,-79.18220571,97.5822
57.4,44.49246606,-79.18220734,97.634
57.45,44.49247262,-79.18220943,97.684
57.5,44.49247918,-79.18221198,97.7
57.55,44.49248576,-79.18221496,97.7
57.6,44.49249226,-79.18221838,97.6611
57.65,44.4924987,-79.1822222,97.6056
57.7,44.49250519,-79.18222628,97.6
57.75,44.49251173,-79.18223061,97.6
57.8,44.49251828,-79.18223524,97.6
57.85,44.49252481,-79.18224017,97.6
57.9,44.49253134,-79.18224546,97.6
57.95,44.49253785,-79.18225108,97.6
58.0,44.49254438,-79.1822568,97.6
58.05,44.49255094,-79.1822626,97.5333
58.1,44.49255759,-79.18226845,97.3111
58.15,44.49256432,-79.18227435,93.4088
58.2,44.4925712,-79.18228016,85.8264
58.25,44.49257824,-79.18228588,82.6101
58.3,44.49258542,-79.18229139,81.4485
58.35,44.49259273,-79.18229672,81.0611
58.4,44.49260017,-79.1823018,81.0056
58.45,44.49260773,-79.18230664,79.7637
58.5,44.49261542,-79.18231113,77.6956
58.55,44.49262324,-79.18231529,67.64
58.6,44.49263118,-79.18231924,59.742
58.65,44.49263924,-79.18232298,57.392
58.7,44.49264738,-79.18232608,55.6717
58.75,44.49265558,-79.18232858,55.5707
58.8,44.49266385,-79.18233047,54.8667
58.85,44.4926722,-79.18233181,52.7556
58.9,44.49268052,-79.18233286,51.7
58.95,44.49268881,-79.18233363,51.7
59.0,44.49269701,-79.18233379,51.8154
59.05,44.49270512,-79.18233337,51.9802
59.1,44.49271313,-79.18233243,51.3778
59.15,44.49272105,-79.182331,50.6707
59.2,44.49272888,-79.18232931,50.85
59.25,44.49273662,-79.18232736,51.1056
59.3,44.49274412,-79.18232497,51.1611
59.35,44.4927514,-79.18232215,51.1333
59.4,44.49275848,-79.18231894,50.9111
59.45,44.49276539,-79.18231534,50.9944
59.5,44.49277205,-79.18231157,51.3833
59.55,44.49277848,-79.18230763,51.5
59.6,44.49278477,-79.18230331,51.5
59.65,44.49279093,-79.18229864,51.4506
59.7,44.49279693,-79.18229364,51.364
59.75,44.49280278,-79.18228834,50.914
59.8,44.49280835,-79.1822826,50.4556
59.85,44.49281367,-79.18227645,49.9
59.9,44.49281872,-79.18226997,49.0056
59.95,44.49282353,-79.18226316,45.0611
60.0,44.49282814,-79.18225607,42.2667
60.05,44.49283257,-79.18224871,42.1556
60.1,44.49283672,-79.1822411,39.1278
60.15,44.49284063,-79.18223327,33.1833
60.2,44.49284428,-79.18222527,30.1944
60.25,44.49284771,-79.18221711,28.4722
60.3,44.49285073,-79.18220882,28.4
60.35,44.49285339,-79.1822004,28.55
60.4,44.49285579,-79.18219191,29.05
60.45,44.49285796,-79.18218338,29.5333
60.5,44.49285975,-79.18217485,29.9778
60.55,44.49286118,-79.18216633,30.95
60.6,44.49286222,-79.18215776,32.45
60.65,44.4928629,-79.18214915,34.2846
60.7,44.4928632,-79.18214051,36.2626
60.75,44.49286314,-79.18213184,42.3667
60.8,44.49286276,-79.18212333,49.0333
60.85,44.49286208,-79.18211496,53.7
60.9,44.49286115,-79.18210666,58.6611
60.95,44.49285997,-79.18209842,68.2722
61.0,44.49285839,-79.18209039,77.5333
61.05,44.49285642,-79.18208255,85.9778
